headline,entity,majority_label
Trump slams Manchin as a 'puppet' - even after West Virginia Democrat signals he’s open to endorsing president,Trump,Negative
"Buttigieg soars, Biden slips, Sanders still on top in newest New Hampshire poll",Biden,Negative
"His campaign on the line, Joe Biden goes missing in New Hampshire",Biden,Negative
Trump Says War With Iran Was ‘Closer Than You Thought’,Trump,Negative
"Biden, Buttigieg Amplify Sanders Criticism Before Iowa Vote",Sanders,Neutral
Partisanship is helping Trump in the impeachment fight more than it’s hurting him,Trump,Positive
Yang: ‘I Can’t Believe I Lost to These People’,Yang,Negative
"Trump Campaign and R.N.C. Spent $9 Million in 4th Quarter, Mostly on Digital Ads",Trump,Neutral
"Decades Later, My Fellow Democrats Should Admit Character Counts",Democrats,Negative
Campaigner or Commander in Chief? No Difference for Trump,Trump,Neutral
Amy Klobuchar’s political rise: The Democratic presidential candidate was kicked out of hospital after giving birth,Klobuchar,Neutral
"Trump lawyer calls Bolton book 'inadmissible,' as defense team wraps impeachment arguments",Trump,Negative
"Deval Patrick Hopes for an Unlikely Surge, but for Many, ‘It’s Awfully Late’",Patrick,Negative
"Buttigieg, Sanders supporters trade jeers -- and cheers -- 3 days before New Hampshire primary",Buttigieg,Positive
Rep. Van Drew to Switch to Republican Party,Republican Party,Positive
"Trump Signs ‘Cutting-Edge’ USMCA, Says the Future Will Be ‘Raised, Grown, Built and Made’ in the US",Trump,Positive
"Nearly a third of the days he’s been president, Trump has visited a Trump-branded property",Trump,Neutral
"Buttigieg, Biden, Warren and Sanders all stumped in Cedar Rapids Saturday",Buttigieg,Neutral
"Amy Klobuchar Vows to Resettle 500 Percent More Refugees, None in Her Neighborhood",Klobuchar,Negative
Klobuchar gets a moment — and hopes she can make it last,Klobuchar,Neutral
House Democrats unveil two articles of impeachment against Trump White House predicts ‘full exoneration’ in GOP-led Senate,Trump,Neutral
"Democrats charge Trump with two impeachment articles, setting up historic vote - The Washington Post",Democrats,Positive
Assessing the ‘four facts’ that a prominent Republican insists prove Trump’s innocence,Trump,Positive
"CNN admits Trump correct, that 2 Democrats misquoted Ukraine call during impeachment markup session",Democrats,Negative
Donald Trump: Democrats Must End ‘Endless Vacation’ and Get Back to Work,Democrats,Negative
"WATCH: House Democrats delayed impeachment vote in effort to gain more TV viewers, congressman admits",Democrats,Negative
"Sen. Bernie Sanders on boost from Iowa caucuses, tight race for New Hampshire, 'Democratic-socialist' label",Sanders,Positive
Trump Budget Calls for New Nuclear Warheads and 2 Types of Missiles,Trump,Neutral
"Biden campaign says race isn't over, turns focus to South Carolina and Nevada",Biden,Neutral
"Republicans To EXPUNGE Democrats’ Impeachment Of Trump If They Win House Back, Report Says",Trump,Positive
"Bolton Is Willing to Testify in Trump Impeachment Trial, Raising Pressure for Witnesses",Trump,Neutral
"Mainstream media slam Trump post-acquittal speech as 'vindictive,' 'mean-spirited' and 'disturbing'",Trump,Negative
"Trump Gives Speech at 2020 March for Life Rally in Washington, D.C.",Trump,Positive
Some House Democrats worry Bernie Sanders could cost them re-election,Sanders,Negative
CNN Don Lemon segment mocking Trump supporters gets criticism,Trump,Neutral
"How Trump Is Spreading a Conspiracy Theory About Pelosi, Biden and Sanders",Trump,Negative
Baier on Biden’s decision to leave New Hampshire early to rally in South Carolina,Biden,Neutral
A day of history accentuates America’s divide and the distortions of truth in the Trump era,Trump,Negative
Trump holds rally as Democrats make final push in New Hampshire,Democrats,Neutral
GOP Opponent to Jeff Van Drew Avoids Primary Against the Dem-Turned-Republican by Switching Districts,Republicans,Neutral
"Joe Manchin, who voted to oust Trump, says he may endorse his reelection",Trump,Positive
Trump impeachment live updates,Trump,Neutral
Ascendant Bernie Sanders turns his focus to Joe Biden as Iowa nears,Biden,Neutral
Trump Says Erdogan Visit to U.S. Is On U.S. Officials Travel to Ankara,Trump,Neutral
The Democrats Self-Quarantine,Democrats,Neutral
"Andrew Yang, shut out of tonight’s debate, hosts a pre-debate rally with MATH pins and birthday cake",Yang,Positive
Biden and Sanders Differ on Foreign Policy. They’re Happy to Tell You So.,Sanders,Neutral
U.S. Presidential Candidate Bloomberg Endorsed by Three Black Lawmakers,Bloomberg,Positive
Trump and Bloomberg Call Each Other Racist as 2020 Election Fight Heats Up,Trump,Negative
Key Dates in the Impeachment Inquiry Into President Trump,Trump,Negative
A quarter of 2016 Sanders supporters now back Elizabeth Warren,Sanders,Neutral
Trump to Attend NATO Summit in London,Trump,Neutral
Buttigieg Edges Past Sanders in Iowa's National Delegate Race: State Party,Buttigieg,Positive
Trump Praises Controversial Hungarian Leader,Trump,Negative
U.S. Seeks Prison Term of 7-9 Years for Trump's Longtime Adviser Roger Stone,Trump,Neutral
"Bloomberg, Trump Detail Campaign Ads to Air on Super Bowl",Bloomberg,Neutral
How Elizabeth Warren Is Being Squeezed by 2 Democratic Factions,Warren,Neutral
"Buttigieg and Sanders take lead, Biden fades in partial results from marred Iowa caucuses",Biden,Negative
"New poll finds Trump at record highs and more liked than Biden, Pelosi, and Schiff",Trump,Positive
Sanders and Buttigieg fight for different New Hampshire voters.,Sanders,Negative
"77-year-old Mike Bloomberg in “outstanding health,” says personal doctor",Bloomberg,Positive
"Joe Biden banks on support in South Carolina, Nevada after fifth place New Hampshire finish",Biden,Neutral
Impeachment Briefing: Day 2 of Trump’s Defense,Trump,Neutral
Tom Cotton Defends Trump’s Decision to Fire Ukrainian Ambassador: ‘Badmouthing’ Is a Good Reason to Fire Her (VIDEO),Trump,Neutral
Biden shakes up campaign staff,Biden,Negative
Republicans Say They May Call No Witnesses During Senate Trial,Republicans,Neutral
Steyer Hires Longest-Serving SC House Lawmaker as Adviser,Steyer,Neutral
"Elizabeth Warren raised $21.2 million, Amy Klobuchar $11.4 million in fourth quarter of 2019, campaigns say",Klobuchar,Neutral
Tom Steyer appears to have qualified for the seventh Democratic debate,Steyer,Positive
Pelosi Clashes With Facebook and Twitter Over Video Posted by Trump,Trump,Negative
Analysis: Sanders Win Ups Pressure on Moderates to Coalesce,Sanders,Positive
Fallout from Nancy Pelosi's decision to shred her copy of President Trump's State of the Union address,Trump,Neutral
"Trump makes his closing argument on impeachment, cobbling together his greatest Twitter hits",Trump,Neutral
"Trump Told Bolton to Help His Ukraine Pressure Campaign, Book Says",Trump,Negative
AP Exclusive: Woman Who Says Trump Raped Her Seeks His DNA,Trump,Negative
"MSNBC: Schiff, impeachment managers mentioned Biden 168 times - in just one day (VIDEO)",Biden,Neutral
Iowa’s Republicans Unite for Trump (Romney Holdouts Aside),Trump,Positive
Amy Klobuchar Is Pressed on ‘The View’ Over Her Record as a Prosecutor,Klobuchar,Neutral
Bloomberg’s Blunt Defense of Stop-and-Frisk Policy Draws Scrutiny,Bloomberg,Negative
Secret Service spending at Trump hotels: Rooms for agents cost up to $650 per night,Trump,Neutral
U.S. Candidate Bloomberg Says Trump Cannot Stop Taking Bait in Insult War,Trump,Negative
Liberal Super PAC Boasts $111 Million Raised to Oppose Trump,Trump,Negative
"Trump Administration Considers 14,000 More Troops for Mideast",Trump,Neutral
"Democrats may try to eliminate Ocasio-Cortez’s House seat, paper says",Democrats,Neutral
Senator Amy Klobuchar campaigns in Iowa while balancing Senate impeachment trial,Klobuchar,Neutral
These Republicans said they hope Trump has learned a lesson from impeachment. He said he hasn’t.,Trump,Neutral
Trump Impeachment: Highlights of Friday’s Trial,Trump,Neutral
Michael Bennet drops out of presidential race,Bennet,Negative
Joe Biden unspools an endless supply of ‘Bidenisms’ on the campaign trail,Biden,Neutral
Biden Tells Voters to Look to the Past. (Just Not the Last Week.),Biden,Neutral
"Trump Team, Opening Defense, Accuses Democrats of Plot to Subvert Election",Trump,Neutral
What the SOTU revealed about Trump's future agenda and reelection strategy,Trump,Neutral
Amy Klobuchar’s Caucus-Day in Iowa Visit Pays Off,Klobuchar,Positive
Logjam Over Impeachment Trial Leaves Trump Prosecutors Little Time to Prepare,Trump,Neutral
How Trump’s impeachment defense wantonly misled the U.S. Senate,Trump,Negative
Democratic candidates react to Trumps State of the Union speech ahead of primary,Trump,Neutral
Elizabeth Warren Has a Pete Buttigieg Problem,Buttigieg,Neutral
"Phil Roe, Tennessee Republican, Announces Retirement From Congress",Republicans,Negative
Kurtz: Trump touts comeback Democrats hobbled by Iowa,Trump,Neutral
‘Mom and Dad Are Fighting’: Left-Wing Democrats Lament Sanders-Warren Rift,Democrats,Neutral
"Rudy Giuliani: ‘Joe Biden Is a Crook’ - ‘If We Can’t Prosecute Him, We Do Not Have Justice in America’",Biden,Negative
Federal agencies will be closed Dec. 24 as Trump issues executive order ,Trump,Neutral
Appeals Court Dismisses Democrats' Lawsuit Against Trump,Trump,Positive
Elizabeth Warren Is Running Her Race. The Real One May Be Passing Her By.,Warren,Neutral
AP FACT CHECK: Distortions in Trump's Case for Acquittal,Trump,Negative
"New York’s highest court can hear sexual misconduct lawsuit against Trump, judges rule",Trump,Negative
CASH GRAB: Two GOP senators face questions over stock sales ahead of the market’s coronavirus slide,GOP,Negative
Trump Has Reshaped the Judiciary. Here’s How the 2020 Democrats Would Address That.,Trump,Positive
Buttigieg narrowly leads Sanders in Iowa caucuses with 97% of precincts reporting,Sanders,Neutral
Senate set to acquit Trump next week after bid for witnesses in impeachment trial is defeated,Trump,Positive
"Sanders in lead, Buttigieg slipping, Klobuchar surging in New Hampshire poll on primary eve",Klobuchar,Neutral
"Buttigieg, Biden, Klobuchar, fight as New Hampshire primary nears",Buttigieg,Negative
The Democrats’ Israel Problem,Democrats,Negative
GONE IN 30 SECONDS: GOP Rep Takes Down Dem Witness In Record Time (VIDEO),GOP,Positive
Trump Legal Team Adds Starr and Dershowitz for Senate Trial,Trump,Neutral
WATCH: Susan Collins Calls Enraged Voicemails She Received ‘a Sad Commentary’ After Voting to Acquit Trump,Trump,Negative
Klobuchar Faces Uproar Over Her Role in Black Teenager’s Murder Conviction,Klobuchar,Negative
"Buttigieg Leads Sanders in Iowa Delegates, 13-12. So, Who Won?",Buttigieg,Positive
Diplomat Ousted and Slammed by Trump Gets Diplomacy Award,Trump,Negative
It was a confusing night for Democrats on Monday. President Trump is smiling.,Trump,Positive
"Under pressure, Buttigieg releases names of former McKinsey clients",Buttigieg,Negative
"Sanders wants supporters to pipe down, but they don't always listen",Sanders,Neutral
Charities Steered $65M to Trump Lawyer Sekulow and Family,Trump,Negative
WATCH: Nancy Pelosi Congratulates Senate Democrats For Stalling $250 Billion Small Business Aid Program,Democrats,Negative
"70 Percent of Democrats Are Increasingly Mad, Lonely, Because of Politics",Democrats,Negative
GOP Fundraiser’s Coronavirus-Gear Business Puts Senate Campaigns in Tough Spot,GOP,Negative
Mark Steyn: It's been downhill since the day Biden announced he was running,Biden,Negative
"Asked Who’d Be Her V.P., Warren Sneers That Pence Is A ‘Dog’",Warren,Neutral
Democrats fail to call out Warren on a central falsehood: Those aren’t selfies she’s taking,Warren,Negative
Trump allies targe Buttigieg's sexuality,Buttigieg,Neutral
Ex-Republican Lawmaker Walsh Ends Bid to Challenge Trump for White House,Trump,Neutral
AP VoteCast: Iowa Dems Split on Best Challenger for Trump,Trump,Neutral
Trump tries to steal Democrats' thunder in New Hampshire,Trump,Negative
"On the Campaign Trail: Biden Slams Buttigieg,' Guess What? He Was a Mayor'",Biden,Neutral
Pete Buttigieg crisscrosses New Hampshire delivering closing argument ahead of first in the nation primary,Buttigieg,Neutral
Democrats sharpen their differences as they head toward Iowa caucuses - The Washington Post,Democrats,Neutral
Biden Warns About Disinformation After Misleading Video,Biden,Negative
"Sanders Narrowly Wins New Hampshire Democratic Primary, Biden Lags Badly",Biden,Negative
The Technology 202: Trump leverages Facebook's powerful ad tools to push anti-impeachment message,Trump,Positive
Why the Bidens are part of Trump's impeachment,Trump,Negative
The Energy 202: Trump administration considers changing way it decides how to use public lands,Trump,Neutral
Trump's Acquittal Confronts Dems With Election Year Choices,Trump,Neutral
"GOP Sen. Johnson: I’ll Subpoena Bidens, Schiff, and Whistleblower if Necessary",GOP,Negative
Will Republicans move to expunge Trump's impeachment if they win back the House?,Republicans,Neutral
Bloomberg Proposes $5 Trillion in Taxes on the Rich and Corporations,Bloomberg,Neutral
"Biden campaign says race isn't over, turns focus to South Carolina and Nevada",Biden,Neutral
Bloomberg Drops Vendor Connected to Prison Labor,Bloomberg,Neutral
"Bloomberg Tackles Gun Violence, Trump Touts Victories in Super Bowl Ads",Trump,Negative
Trump Wants Pentagon to Review Impeachment Witness' Conduct,Trump,Neutral
Partisan Rancor on Display as Senators Argue Their Positions in Trump Impeachment Trial,Trump,Negative
"The Latest: Biden: First Two States Important, Not Critical",Biden,Neutral
Is there a behind-the-scenes effort to to prevent Bernie Sanders from getting the Democratic nomination?,Sanders,Negative
Moderate Democrats fear Bernie Sanders could hurt party's chances to keep control of the House,Sanders,Negative
Rep. Van Drew to Switch to Republican Party,Republicans,Positive
CNN Impeachment Poll Has Bad News For Democrats: Support Among Democrats Drops By Double Digits,Democrats,Negative
Trump Announces Coronavirus Task Force,Trump,Neutral
The Health 202: How Pete Buttigieg's health-care strategy helped him gain traction in the Iowa caucus,Buttigieg,Positive
Sen. Mazie Hirono says Trump 'wasn't acquitted' because he had a 'rigged' impeachment trial,Trump,Negative
New emails help peel back the layers of pressure surrounding Trump’s July 25 call with Zelensky,Trump,Neutral
The Trailer: 'Beat Trump': The Democrats' closing arguments in Iowa,Trump,Negative
Trump isn’t worried about beating Republicans in the primaries. He wants to beat the Democrats.,Trump,Neutral
President Trump attends 68th annual National Prayer Breakfast,Trump,Neutral
Trump’s go-it-alone strategy leaves him isolated on Iran,Trump,Negative
Giuliani: Trump should 100 percent investigate Biden after Senate acquittal,Trump,Neutral
"Final Iowa caucus results show Buttigieg, Sanders on top",Sanders,Positive
Trump Administration Rejects California's Health Care Tax,Trump,Negative
Republican impeachment report: GOP offers preemptive rebuttal to Democrats' case against Trump - The Washington Post,Democrats,Negative
Joe Biden retreats home before New Hampshire debate,Biden,Negative
"At Las Vegas events, Joe Biden and Pete Buttigieg woo Hispanic voters",Buttigieg,Positive
Biden fights to save presidential bid in New Hampshire,Biden,Neutral
Anatomy of a Trump rally: 67 percent of claims are false or lacking evidence,Trump,Negative
"Meadows, close ally of Trump, to retire from Congress",Trump,Neutral
Joe Biden Says He’d Defy Subpoena to Testify in Trump’s Senate Trial,Biden,Negative
How Trump’s Senate trial lawyers could complicate the case his DOJ lawyers are making in court,Trump,Neutral
Trump-Pelosi Feud Erupts During Speech to Congress as Impeachment Trial Nears End,Trump,Negative
Amy Klobuchar Compares ‘Cool Newcomer’ Pete Buttigieg to Trump,Trump,Neutral
Biden’s claim that he didn’t tell Obama not to launch bin Laden raid,Biden,Negative
Mike Bloomberg has spread his money to liberal activist groups for years and now is spending more on his own campaign,Bloomberg,Neutral
The Trailer: What Republicans' attacks have added to Biden's pitch in Iowa - The Washington Post,Republicans,Neutral
John Sununu doubts Elizabeth Warren can sway undecided voters in New Hampshire,Warren,Negative
Pete Buttigieg Once Led in Iowa. Can He Get His Groove Back?,Buttigieg,Neutral
One sign that Trump is worried about impeachment? His avalanche of tweets.,Trump,Negative
Michael Bloomberg Pays $10 Million for Super Bowl Gun Control Ad,Bloomberg,Neutral
Democrats Push for Coronavirus Workplace Safety Rules,Democrats,Neutral
House leaders seek to expedite emergency aid package amid uncertainty about GOP lawmaker delaying measure - The Washington Post,GOP,Negative
Top Democrats fume after Trump expands travel ban to six new countries,Trump,Neutral
The ‘prophetic’ Alexander Hamilton quote Democrats say predicted the need to impeach Trump,Trump,Negative
Andrew Yang’s Campaign Is Riding on New Hampshire,Yang,Neutral
Never-Trumpers in New Hampshire weigh protest primary vote,Trump,Negative
Mitt Romney knew the storm was coming over his impeachment vote. How long it lasts will be up to Trump.,Trump,Neutral
Trump 'a Symptom of a Disease'-Quotes From the Democratic Presidential Debate,Trump,Negative
"Buttigieg’s Bet: After Iran Strike, Military Experience Matters Even More",Buttigieg,Negative
Septuagenarians Trump and Bloomberg exchange middle-school-like taunts,Bloomberg,Neutral
What might be Andrew Yang's next move?,Yang,Neutral
Tape Made Public of Trump Discussing Ukraine With Donors,Trump,Neutral
Tonight’s Democratic Debate in Iowa: Will Sanders and Warren Clash or De-Escalate?,Warren,Neutral
"Local New Hampshire Union Backs Bernie Sanders, Bucking National Affiliate",Sanders,Positive
Video shows Trump telling associates to ‘get rid of’ Ukraine ambassador Maria Yovanovitch,Trump,Negative
Democrats Want To Outlaw 'Racist' Single-Family Housing In Virginia,Democrats,Positive
"House impeachment managers say Trump, Senate permanently stained by trial",Trump,Negative
Washington Democrats Push Mandatory LGBTQ-Focused Sex Ed for Kindergartners,Democrats,Negative
Bernie Sanders blasts Pete Buttigieg's support from 'billionaire donors',Sanders,Positive
Guests Help Trump Highlight State of the Union Themes,Trump,Neutral
"Putin Rejects Oil Deal With Belarus, Increasing Pressure for Merger",Putin,Neutral
"Trump welcomes Rep. Van Drew, an impeachment foe switching parties to join GOP",Trump,Neutral
Andrew Yang - Foreign Policy,Yang,Neutral
Billionaire U.S. Candidate Bloomberg Floats Plan to Tax Rich People 'Like Me',Bloomberg,Neutral
The Cybersecurity 202: Threat of Iran cyberattack remains high even as Trump backs away from potential war,Trump,Neutral
Bloomberg Doubles Ad Spending After Chaos of Iowa Caucuses,Bloomberg,Positive
"Rudy Giuliani on Trump's big week, investigating Hunter Biden",Trump,Neutral
Vulnerable Democrats worry Sanders win could hurt them,Democrats,Negative
Sanders: 'Common sense suggests' Buttigieg would be compromised by wealthy donors,Sanders,Neutral
James Carville says Democrats cannot nominate Bernie Sanders,Sanders,Negative
Buttigieg on Defense as Rivals Aim to Blunt His Momentum,Buttigieg,Negative
Alec Baldwin: Trump’s Impeachment Centers on a Hate Crime. He Hates the Constitution’,Trump,Negative
Warren's Oklahoma homecoming: It's complicated,Warren,Neutral
WATCH: Trump Won’t Shake Nancy Pelosi’s Hand at State of the Union,Trump,Neutral
"Bloomberg’s controversial comments on stop and frisk, China and more",Bloomberg,Negative
"Trump, allies target vulnerable Democrats ahead of House impeachment vote",Trump,Negative
"Elizabeth Warren, in New Memo, Outlines Her Path and Rivals’ Flaws",Warren,Neutral
A Top Republican Senator Is Pushing One of the Biggest Jobs Programs in History,Republicans,Positive
"After impeachment vote, Romney is now a pariah among Republicans - The Washington Post",Republicans,Negative
"""WATCH: Harrison Ford Calls Trump a """"Son of a Bitch""""""",Trump,Negative
"Sanders, Buttigieg and Klobuchar look to seize momentum from New Hampshire results",Buttigieg,Neutral
Trump tried to appease John Bolton. It failed.,Trump,Negative
Justin Haskins likens Bernie Sanders' political career to socialism: It doesn't work,Sanders,Negative
Buttigieg vies for top spot in New Hampshire,Buttigieg,Positive
"Romney votes to convict Trump on impeachment charge of abuse of power, the only Republican to break ranks",Trump,Negative
WATCH: Biden blames Trump surrogates for botched Iowa caucus count,Trump,Negative
"Israel PM Meets With Putin, Returns With Freed Tourist",Putin,Positive
"White House Aide Vindman, Who Testified in Trump Impeachment Probe, Fired: Lawyer",Trump,Neutral
House Democrats Sketch Out Priorities for Next Coronavirus Stimulus Bill,Democrats,Neutral
John Yoo warns Democrats that renewing impeachment charges against President Trump would be a mistake,Democrats,Negative
Trump Campaigns as a 2nd Amendment Warrior,Trump,Neutral
"Romney votes to convict Trump on impeachment charge of abuse of power, the only Republican to break ranks",Trump,Negative
President Donald Trump seen at Super Bowl party conducting imaginary orchestra during anthem,Trump,Neutral
Self-made billionaire weighs in on Bernie Sanders' proposed wealth-tax,Sanders,Neutral
Super PAC Attacks Sanders in an Ad. Sanders Raises $1.3 Million in a Day.,Sanders,Negative
"Trump Hosts Governors, Claims Credit for Their Performance",Trump,Neutral
"Democrats Get the Attention, but Trump Aims to Put New Hampshire in Play",Trump,Neutral
Pompeo Plays Clean-Up in Ukraine as Trump Trial Nears End,Trump,Neutral
On the 2020 Trail: Sanders Blasts Buttigieg for Taking Billionaire Bucks,Sanders,Neutral
"Buttigieg takes aim at ""purity tests""",Buttigieg,Neutral
Virginia Democrats Advance Assault Weapon Ban,Democrats,Neutral
Democrats would be most enthusiastic about a female nominee. Republicans? A businessman. - The Washington Post,Democrats,Positive
"House Democrats vote to adopt Trump impeachment report, blast scheme to 'solicit foreign interference' in 2020 race",Democrats,Neutral
Democrats' Response to Trump Turns to Working-Class Worries,Trump,Negative
"""""""Not Terribly Encouraging"""": Mitt Romney Hints He Might Oppose Fed Nominee Judy Shelton In Latest Attack On Trump""",Trump,Neutral
Donor to Trump Inauguration Charged With Obstructing Investigation,Trump,Negative
Buttigieg on Defense as Rivals Aim to Blunt His Momentum,Buttigieg,Neutral
Trump lashes out at Democrats in cheering his acquittal as Pelosi declares him ‘impeached forever’,Trump,Negative
Trump celebrates impeachment trial acquittal,Trump,Positive
"Trump barges in on Democratic primary races, seeking to steal the spotlight",Trump,Negative
Trump Travels to Iowa to Energize Supporters for Caucuses Next Week,Trump,Neutral
A Second Video Shows Trump With Former Ukraine Fixer Lev Parnas,Trump,Neutral
Judges Quietly Disrupt Trump Immigration Policy in San Diego,Trump,Negative
Biden Praises ‘Profound’ Question Comparing Trump’s Border Policies to Holocaust (VIDEO),Trump,Negative
Biden and Sanders Differ on Foreign Policy. They’re Happy to Tell You So.,Biden,Positive
How Bernie Sanders Learned to Love Campaigning in California,Sanders,Positive
Amy Klobuchar’s political rise: The Democratic presidential candidate was kicked out of hospital after giving birth,Klobuchar,Neutral
White House eyes Joe Manchin in impeachment trial as Trump wants a Senate Democrat to vote for acquittal.,Trump,Neutral
"Issues Abound at 4th Women’s March, ‘But It All Ties Into Trump’",Trump,Negative
Biden Heading to South Carolina Sanders Steady as New Hampshire Votes,Biden,Neutral
The ‘But I Would Vote for Joe Biden’ Republicans,Republicans,Neutral
"Joe Biden, Seeking Commander-in-Chief Moment, Denounces Trump’s Iran Escalation",Biden,Negative
Warren embraced the high-dollar fundraiser circuit for years — until just before her presidential campaign,Warren,Negative
Senate impeachment whip count: Where Democrats and Republicans stand - Washington Post,Democrats,Neutral
"To President Trump, a unified America is no more than an America that will vote for Trump",Trump,Negative
Trump Hails Acquittal and Lashes Out at His ‘Evil’ and ‘Corrupt’ Opponents,Trump,Negative
What to Watch For in Trump’s Impeachment Trial on Saturday,Trump,Neutral
"RED SCARE: Bernie Sanders Wins New Hampshire, Takes Command of Democratic Party",Sanders,Positive
"Pelosi argues Trump 'cannot be acquitted,' suggests defense team should be disbarred",Trump,Neutral
The Finance 202: Wall Street shrugs off Bernie Sanders's chances to win 2020 Democratic primary. And to beat President Trump.,Sanders,Negative
Trump and Bloomberg Call Each Other Racist as 2020 Election Fight Heats Up,Bloomberg,Negative
Furor over Trump firing witnesses,Trump,Negative
"On the Day Democrats Vote in Iowa, Trump Plans to Flood the Zone",Trump,Neutral
Alexander Says Convicting Trump Would ‘Pour Gasoline on Cultural Fires’,Trump,Neutral
WATCH: Warren boasts about taking HALF of broke college student’s savings for campaign,Warren,Negative
WATCH: Joe Biden stops Democratic debate to ask audience to stand and applaud for impeachment witness fired by Trump,Biden,Positive
Trump’s order to strike Iranian commander sparks fresh debate in Congress over war powers,Trump,Neutral
"Former Buttigieg campaign manager: He is looking for practical, pragmatic solutions to issues",Buttigieg,Positive
"Rep. Tulsi Gabbard on feud with Hillary Clinton, Iowa caucus chaos",Gabbard,Negative
What Went Wrong for Joe Biden in Iowa,Biden,Negative
Bernie Sanders Formally Requests Partial Recount of Iowa Democratic Results,Sanders,Neutral
Evangelical Leaders Close Ranks With Trump After Scathing Editorial,Trump,Negative
"Iowa caucus results too close to call as Sanders, Buttigieg finish in virtual tie",Sanders,Neutral
How Putin Outfoxed Trump in Venezuela,Putin,Positive
Democrats' final scramble overshadowed by Trump dramas,Trump,Negative
"Nancy Pelosi at State of the Union: Speaker rips up Trump's speech, reflecting tumultuous year",Trump,Negative
Trump Says War With Iran Was ‘Closer Than You Thought’,Trump,Neutral
"Democrats take aim at Bloomberg on stop-and-frisk, treatment of women - The Washington Post",Democrats,Neutral
"Exit Polls: Sanders, Buttigieg, Klobuchar Locked in Tight Race for New Hampshire",Sanders,Positive
"Trump seeks to celebrate a victory, even in the wake of a foreign attack",Trump,Negative
Bernie Sanders doesn’t see a future for pro-lifers in the Democratic Party: 'Being pro-choice is an absolutely essential part of being a Democrat' (VIDEO) - True Pundit,Sanders,Neutral
WATCH: CNN’s Don Lemon Responds to Criticism of Him Laughing at Joke About Trump Supporters,Trump,Neutral
Republicans Fret as Mnuchin Bargains With Democrats to Break Funding Impasse,Republicans,Negative
The Energy 202: Trump administration scales back protections on streams and wetlands,Trump,Negative
Sen. Kennedy calls Pelosi 'over the top' and 'juvenile' for tearing up copy of Trump's speech,Trump,Negative
Pete Buttigieg Tells Woman Her Pro-Life Views Not Welcomed In Democrat Party (VIDEO),Buttigieg,Neutral
President Trump makes remarks following Senate impeachment acquittal,Trump,Neutral
Warren remains optimistic despite financial woes: ‘I’ve been winning unwinnable fights my whole life’,Warren,Positive
Michael Bennet - Foreign Policy,Bennet,Neutral
Trump Acquitted of Two Impeachment Charges in Near Party-Line Vote,Trump,Positive
The Daily 202: FBI director shows independence from Trump and Barr in responding to IG report on Russia probe,Trump,Neutral
"Biden to Trump: Give Vindman, not Rush Limbaugh, a medal",Biden,Neutral
Video shows Trump telling associates to ‘get rid of’ Ukraine ambassador Maria Yovanovitch,Trump,Negative
Pro-Biden super PAC warns of 'doomsday scenario' for Democrats,Democrats,Negative
"Iowa Democratic Party awards Buttigieg 14 delegates, Sanders 12 after caucus meltdown",Buttigieg,Positive
Six Democrats Qualify for Final Debate Before Iowa Votes,Democrats,Neutral
Moderate Democrats Fear Bernie Sanders Could Cost Them the House,Sanders,Negative
Trump Takes Out Another Top Terrorist In The Middle East,Trump,Positive
Tammy Bruce: February 2020 will be known as the month when President Trump was reelected,Trump,Positive
‘Mom and Dad Are Fighting’: Left-Wing Democrats Lament Sanders-Warren Rift,Sanders,Negative
"Bloomberg Is Taunting Trump, and Trump Is Taking the Bait",Trump,Negative
Sanders Is Victorious in New Hampshire Primary,Sanders,Positive
Republican Bill Weld explains why he is running against President Trump,Trump,Negative
Trump and Kushner Saw Super Bowl Ad as Way of Making Inroads With Black Voters,Trump,Neutral
How the House Judiciary vote on Trump impeachment compares to past votes,Trump,Neutral
Documents Provide New Details of Trump’s Pressure Campaign on Ukraine,Trump,Neutral
Trump Acquitted of Two Impeachment Charges in Near Party-Line Vote,Trump,Neutral
Chris Wallace: Biden is 'mortally wounded' if he has bad result in New Hampshire,Biden,Negative
"Biden, facing scrutiny of his foreign policy record, sharpens criticism of Trump’s ‘incompetence’ on Iran",Trump,Negative
Democrats Look Ahead From Nevada and See a Common Enemy: Bloomberg,Democrats,Neutral
Bloomberg under fire for ‘stop and frisk’ recording could this doom his campaign?,Bloomberg,Negative
Trump Considering an Expansion of His 2017 Travel Ban,Trump,Neutral
Kamala Harris Is Said to Be Weighing an Endorsement of Joe Biden,Biden,Positive
"Elizabeth Warren Returns to Oklahoma, Stressing Working-Class Roots",Warren,Neutral
"‘Urban Legend’ or Authentic Trump Autograph? Either Way, It Sells",Trump,Positive
"Buttigieg Has Narrow Iowa Lead on Sanders, Biden Lags in Democratic Race",Buttigieg,Positive
"Flouting War Powers Act, Trump claims his tweets are sufficient notice to Congress that U.S. may strike Iran",Trump,Negative
The Energy 202: Trump backs down from building nuclear waste site in Nevada,Trump,Negative
Trump Took Credit for Lower Cancer Death Rates. Advocates Say Not So Fast.,Trump,Negative
"For Joe Biden, Two Bad Losses and a Precarious Path Forward",Biden,Negative
Emails Show the Fallout From Trump's Claims About Dorian,Trump,Negative
"Sanders Edges Buttigieg in NH, Giving Dems 2 Front-Runners",Buttigieg,Negative
WATCH: Rep. Sheila Jackson Lee declares Trump’s budget cuts are “slavery” because minorities will be encouraged to work,Trump,Neutral
